Schwierigkeit	Frage	DAS	B	C	D	Antworten	Kategorie
1	Was hat die Person gekauft, die sich einen Pullover gekauft hat?	Jagdhund	Kleidung	Segelschiff	Wagen	B	ALLGEMEINES
2	Was baut jemand an, der Ficus sammelt?	Zierfische	Nagetiere	Vogel	Zierpflanzen	D	BIOLOGIE
3	Welches wird benotigt, um Ton herzustellen?	auf Lehmschlamm	auf Zement	zu Kalk	auf Sand	A	ALLGEMEINES
4	Wer spielt Obelix in Asterix und Obelix?	Jean Paul Belmondo	Gerard Depardieu	Claude Brasseur	Philipp Noiret	B	FILM
5	Welche Sportart ist der Titeltrack eines LGT-Songs?	Eishockey	der Fussball	das Schachspiel	Boxen	D	MUSIK
6	Welcher Takt eines Viertakt-Verbrennungsmotors ist Kompression?	Saugen	Kompression	Arbeitsplan	Auspuff	B	TECHNIK
7	Lazio ist die Fussballmannschaft welcher italienischen Stadt?	Mailand	Turin	Neapel	Rom	D	SPORT
8	Wer hat das Karinthy Theater gegrundet?	Frigyes Karinthy	Martin Karinthy	Ferenc Karinthy	Gabor Karinthy	B	THEATER
9	Welcher der folgenden Vogel ist ein Papagei?	Reiher	Kanarienvogel	Kakadu	Hanfling	C	BIOLOGIE
10	Wer grundete das beruhmte franzosische Theater, die Comedie Francaise?	Napoleon	XIV. Ludwig	Kardinal Richelieu	Madame de Pompadour	B	THEATER
11	Wo wurde Janos Szapolyai im November 1526 von den ungarischen Orden zum Konig gewahlt?	in Buda	in Szekesfehervar	in Pressburg	Schloss	B	GESCHICHTE
1	"Wie viel ist wert" die wertlose Ware?	ein Penny	nicht einmal ein Holzverkaufer	ein Blatt	nicht einmal ein Holzwurm	D	ALLGEMEINES
2	Wie geht der Spruch weiter? "Was man unterwegs verliert,..."	fur immer verloren	wird vom Staat ausgegeben	gewinnt beim Zoll	Steuerruckforderung	C	ALLGEMEINES
3	Wie nennt man eine Brucke, die ein Tal oder einen Abgrund uberspannt?	Kampfer	Viadukt	Punkt	Apsis	B	ALLGEMEINES
4	Wer ist die Hauptfigur in Nicsak, wer spricht! fur die Filmkomodie?	Danny DeVito	Jim Carrey	John Travolta	Toni Curtis	C	FILM
5	Aus welchem Werk stammt das Hotel? "Unser alter Ruhm, wo verweilst du in der Dunkelheit der Nacht?"	Hust	Das Meer stieg auf	An die Ungarn	Laufen von Zalan	D	LITERATUR
1	Welche Art von "Steak" ist ein Teil der kurzen Rippe?	Krebs	Jungfrau	Lowe	Wassermann	B	KuCHE
2	Wohin gehen wir, wenn wir die Ereignisse in den Manèzen beobachten?	im Schwimmbad	im Zirkus	in einem Sportstadion	im Parlament	B	ALLGEMEINES
3	Wessen Gesetz ist es? "Was schief gehen kann, wird schief gehen."	Ohm	Newton	Murphy	Eddie Murphy	C	ALLGEMEINES
4	Was wird eingefuhrt, wenn die Statuen angekundigt werden?	neuer Nationalfeiertag	summarisches Urteil	Essenskartensystem	Verstaatlichung	B	GESCHICHTE
5	Welches chemische Element hat das chemische Symbol "Cr"?	Chlor	Krypton	Kalzium	Chrom	D	WISSENSCHAFT
6	In wessen Gestalt erscheint Adam in "Die Tragodie des Menschen"?	Miltiaden	Demosthenes	Auf Drakhon	Perikles	A	LITERATUR
7	Die Insel If, auf der Dumas' Held Edmond Dantes eingesperrt war, existiert wirklich. Wo liegt er?	in der Bucht von Marseille	In der Nahe von Korsika	vor der Westkuste Afrikas	Vor der Kuste Irlands	A	LITERATUR
8	Wer waren die chinesischen Mandarinen?	furstliche Nachkommen	Angestellte	Militar Offiziere	Betreuer von Ziergarten	B	SPRACHE
1	Wie heisst die Filmkomodie von Karoly Makk: "Geschichte der 12 …"	uber einen kleinen Nigger	uber einen Treffer	uber einen Stachanowisten	Pfeffer von einem Ochsen	B	FILM
2	Was machen die ostlichen Volker mit Pilaw?	sie essen es	als Weihrauch verwendet	sie musizieren damit	sie reisen darauf	A	SPRACHE
3	Schrapnell ist ein anderer Name fur welches Kampfwerkzeug?	Panzer	Bomber	Splittergranate	Mine	C	TECHNIK
4	Wie lautet der Titel einer weltberuhmten Offenbacher Erdbeere?	Schone Helena	Kuhaugige Hera	Riesige Aphrodite	Altes Europa	A	OPER
5	Mit wessen Schwert vergleichen wir die immer drohende Gefahr?	Lukullus	Pyrrhus	Damokles	Tyrannisieren	C	ALLGEMEINES
6	Amalgame sind Legierungen welchen Metalls?	Merkur	Zink	Eisen	Nickel	A	WISSENSCHAFT
7	Wer spielt die Hauptrolle im Film Mad Max?	Clint Eastwood	Mel Gibson	Sylvester Stallone	Telly Savalas	B	FILM
8	In welcher Stadt befindet sich das Csontvary-Museum?	Szentendre	Pecs	in Szombathely	In Gyor	B	UNGARN
9	Welche Fussballmannschaft hat die ungarische Meisterschaft noch nicht gewonnen?	Gyor ETO	Vac	Auf Video	Donaufahre	C	SPORT
10	Wo wurde Erkel Banks Oper Bank zum ersten Mal aufgefuhrt?	im Opernhaus	im Ungarischen Volkstheater in Pest	im Nationaltheater	im Budaer Volkstheater	C	OPER
1	Was macht ein Student, wenn er ein nicht zugelassenes Hilfsmittel zum Verfassen einer Hausarbeit benutzt?	es rutscht	dreht sich	Krippe	es schleudert	C	ALLGEMEINES
2	In welcher Sportart wird eine Rallye ausgetragen?	Motorsport	Reiten	Radfahren	Leichtathletik	A	SPORT
3	Wie nannten sich die alten Griechen?	Etrusker	Hellenen	Phryger	Kelten	B	GESCHICHTE
4	Welche Gemusegartenpflanze wird wegen ihrer essbaren Bluten angebaut?	Rettich	Sellerie	Blumenkohl	Header-Bild-Splitter	C	BIOLOGIE
5	Wie heisst der Diener der Hauptfigur in Mihaly Vorosmartys Csongor und Tunde?	Er ist ungeschickt	Bamba	Satz	Suta	A	LITERATUR
6	Was macht "Zeit" im Titel des beruhmten Films von Peter Gothar?	eilt	Pause	er fliegt weg	verschwinden	B	FILM
7	Welche der folgenden Stadte hat kein Minarett?	Pecs	Veszprem	Es ist es wert	Maus	B	GESCHICHTE
1	Welche Art von Beruf kann eine Person unter einen Hut bringen?	Fotomodell	Lebensmittelgeschaft	Buchhalter	Sumoringer	C	ALLGEMEINES
2	Welche der folgenden kann man Mortadella nennen?	Italienische Opernsangerin	Eis	Aufschnitt	Ruderboot	C	SPRACHE
3	Astronauten aus welchen Landern fuhrten den ersten internationalen Raumflug durch?	USA-Sowjetunion	Frankreich-Sowjetunion	USA-China	USA-Kanada	A	WISSENSCHAFT
4	Was wird gesetzlich als Corpus Delicti bezeichnet?	der Angeklagte	der Rechtsanwalt	das Zeichen der Sunde	das Urteil	C	ALLGEMEINES
5	In welcher Sportart kann ein Steuertrick ausgefuhrt werden?	im Fussball	im Eishockey	im Tischtennis	im Schach	D	SPORT
6	Welcher Papst hat den Kalender reformiert?	XIII. Gregor	VII. Gregor	III. Schlank	II. Orban	A	GESCHICHTE
7	Wer ist die weibliche Hauptrolle in James Camerons Titanic?	Kate Winslet	Gwyneth Paltrow	Angelina Jolie	Winona Ryder	A	FILM
8	Welcher der folgenden kann sowohl der Name des japanischen Kaisers als auch der Name eines Kleidungsstucks sein?	Kendo	Kimono	Mikado	Haiku	C	SPRACHE
9	Wie heisst die Strickjacke?	uber einen norwegischen Schauspieler	uber einen englischen Adligen	einer Art schottischem Tuch	einer irischen Schafrasse	B	SPRACHE
10	Was wird das Schicksal von Inspektor Javert am Ende von Les Miserables sein?	Sie werden auf die Barrikaden geschossen	ertrinkt selbst	ins Gefangnis kommen	zur Auswanderung gezwungen	B	LITERATUR
1	Welches Wort bezeichnet eine Art Hut?	Juci	Katzchen	Tercsi	komisch	B	ALLGEMEINES
2	Wie nennt man die Tranen heuchlerischen, unaufrichtigen Bedauerns?	Elefant	Mammut-	Krokodil	Wal	C	ALLGEMEINES
3	Was war die Signaturwaffe von Robin Hood?	Speer	Verneigung	Morgenstern	Schlinge	B	LITERATUR
4	In welcher Schwimmsportart gewann Krisztina Egerszegi bei den Olympischen Spielen 1996 in Atlanta eine Goldmedaille?	Ruckenschwimmen	beim Lagenschwimmen	beim Brustschwimmen	im Freistilschwimmen	A	SPORT
1	Was machen wir laut dem Titel von Robert Koltais Film "nie" nicht?	wir sterben	wir jagen	wir treten beiseite	wir samba	A	FILM
2	An welchem Teil unseres Korpers konnen wir eine Brucke und eine Krone tragen?	Auge	Ohr	Nase	Wille	D	BIOLOGIE
3	Wie nennt man den Kellner in einem Restaurant laut Etikette?	durch Pfeifen	mit einer Warnung	mit einem Klick	mit einem Zischen	B	ALLGEMEINES
4	Eine Synagoge ist eine Kirche welcher Religion?	katholisch	islamisch	judisch	Buddhist	C	RELIGION
5	Welches ist kein Verb in der ungarischen Sprache?	Anmelder	bedingt	Imperativ	Frage	D	SPRACHE
6	Wer war XV. Ist Konig Ludwig von Frankreich ein beruhmter Favorit?	Madame de Sevign	Madame de Pompadour	Frau Recamier	Madame de Stael	B	GESCHICHTE
7	uber welchen Vogel hat Strawinsky ein Ballett geschrieben?	Eisvogel	Feuervogel	Phoenix vogel	Sturmvogel	B	KUNST
8	Wer steckt im Titel eines Durrenmatt-Stucks?	Botaniker	Physiker	Apotheke	Ornithologen	B	THEATER
9	Wer war Polyphem?	ein einaugiger Riese	Philosoph aus Milet	Konig von Kreta	Trojanischer Held	A	RELIGION
1	Was soll in auffallend verdachtigen Situationen auffallen?	Ochsenhorn	Barentatze	Schneckententakel	Pferdefuss	D	ALLGEMEINES
2	Wie nennt man ein Fussballspiel zwischen Nationen ohne Einsatz?	sanft	freundlich	Bekanntschaft	Dirigent	B	SPORT
3	In welches Zimmer ging Petofi, als er seine Pfeife anzunden wollte?	Kammer	in die Kuche	in ein kleines Zimmer	in einen Schuppen	B	LITERATUR
4	Welches schone Tier wird auch Bambusbar genannt?	Malaiischer Bar	Waschbar	Koala	Panda	D	BIOLOGIE
5	Welchen von Shakespeares Helden spielte Leonardo DiCaprio im Film?	Antonius	Weiler	Romeo	Othello	C	FILM
6	Wer grundete die fur ihre seltenen Bucher beruhmte Helikon-Bibliothek in Keszthely?	Karoly Esterhazy	Gyorgy Festetics	Jeno von Savoyen	Antal Grassalkovich	B	GESCHICHTE
1	Wie hiess die Hauptpatronin der Balle?	Wal	Wal Mutter	Abschlussball Fee	Ballkonigin	B	ALLGEMEINES
2	Wo sind die Bojen?	im Wasser	in der Luft	auf dem Boden	unter Tage	A	ALLGEMEINES
3	Was ist der Ursprung des beruhmten Filmregisseurs Akira Kurosawa?	Chinesisch	Japan	mongolisch	Vietnamesisch	B	FILM
4	Wen fordert Ervin Lazar im Titel seines Marchenbuchs auf, nach Hause zu kommen?	Siegfried Bruckner	Ich bin sauer	Mikkamakka	Pferd Seraphin	C	LITERATUR
5	In welcher Stadt kann man das Paprikamuseum besuchen?	in Szeged	Makon	Kalocsan	Gyulan	C	UNGARN
6	Was fur ein Tier ist der Hase?	Fische	Vogel	Insekt	Saugetier	B	BIOLOGIE
7	Wie heisst der Berggipfel an der osterreichisch-ungarischen Grenze?	Stein kussen	Rabenstein	Geschriebener Stein	Stabiler Stein	C	ERDKUNDE
8	Wer wurde nicht als Comedian zum Star des Stummfilms?	Harald Lloyd	Buster Keaton	Rudolf Valentino	Oliver Hardy	C	FILM
9	Wer im XVIII Bravos genannt wurde. in Italien im 19. Jahrhundert?	adelige Offiziere	Sohne von Fursten	Die Assassinen	die Gesandten des Papstes	C	GESCHICHTE
10	Wo starb der ehemalige ungarische Ministerprasident Istvan Bethlen?	in den Vereinigten Staaten	In Grossbritannien	In der Schweiz	in der Sowjetunion	D	GESCHICHTE
1	Welches Adjektiv verwenden wir fur Leute, die zum Diebstahl neigen?	klebrige Pfoten	geschrumpft	leichtfussig	magnetische Handflache	C	ALLGEMEINES
2	Wer sind die Titelfiguren von Mikszaths Werk?	die beiden bettelnden Studenten	Die drei Garaboncianer	die vier Wandersanger	die zehn Gouverneure	A	LITERATUR
3	Wie nennen die Goten einen ostgermanischen Stamm, der in Dakien lebte?	Berg	Felder	Wald	Wasser-	D	GESCHICHTE
4	Wen stellt das Reiterstandbild von Janos Fadrusz in Cluj-Napoca dar?	Antalt Nagy von Buda	Gyorgy Dozsa	Konig Mathias	Janos Szapolyai	C	GESCHICHTE
5	Welcher beruhmte Philosoph studierte Luftdruck und Hydrodynamik?	Leibniz	Paskal	Demokrit	Anaxagoras	B	WISSENSCHAFT
6	Wie viele Konige regierten Ungarn unter dem Namen Matthias?	eines	zwei	drei	vier	B	GESCHICHTE
7	Wo bekommen Kolibris die meiste Nahrung?	von Baumen	aus anderen Vogelnestern	aus dem Blutenkelch	aus Sumpfschlamm	C	BIOLOGIE
1	Was haben sie mit dem Stift gemacht?	Sie schrieben mit ihm	sie ritten darauf	sie kampften mit ihm	an die Zahne geschlagen	A	ALLGEMEINES
2	Welches Instrument ist nach einem der Knochen im Unterschenkel benannt?	Trommel	Flote	Pfeife	Fagott	C	ALLGEMEINES
3	Was ist die gebrauchliche Bezeichnung fur Reiskocher?	Puffreis	Reis und Fleisch	Milchreis	risibizi	A	KuCHE
4	In welcher Stadt kann das Geza-Gardonyi-Gedenkmuseum besichtigt werden?	Koszeg	Maus	Szigetvar	Meine Mucke	B	UNGARN
5	Wie heisst der beliebte Teenie-Horrorfilm "Ich weiss, was du getan hast …"	mit dem Eispickel	letzten Sommer	dieses Jahr beim Abitur	mit der Kettensage	B	FILM
6	Wofur war die Stadt Delpoi in der Antike beruhmt?	uber Tiermarkte	uber seine Unmoral	uber seinen Wahrsager	seiner strengen Erziehung	C	GESCHICHTE
7	Wer steckt im Titel eines bekannten Balzac-Romans?	Murren	Flusterer	sie brullen	sie jubeln	C	LITERATUR
8	In welcher Schwimmdisziplin hat Tamas Darnyi vier olympische Meisterschaften gewonnen?	im Freistilschwimmen	im Schmetterling	Ruckenschwimmen	beim Lagenschwimmen	D	SPORT
9	Wie hiess das erste Schiff, das die Welt umrundete?	Ein Bier	Argo	Viktoria	Trinidad	C	GESCHICHTE
1	Welche Skulpturen schmucken die Bruckenkopfe der Kettenbrucke in Budapest?	Pferde	Flusspferde	Adler	Lowen	D	ALLGEMEINES
2	Was ist ein anderer Name fur Knodel?	Makkaroni	Spaghetti	nokedli	fiel	C	KuCHE
3	Wessen oder was ist "Captain" im Titel von Attila Dargays Cartoon?	Der Wald	die Tenke	die Illegalen	das Orion-Raumschiff	A	FILM
4	Wer wurde fruher Griff genannt?	der Rasenmeister	der Hausmeister	der alte Liebhaber	der Beamte	C	SPRACHE
5	Der Name welcher ungarischen Beruhmtheit ist falsch geschrieben?	Imre Thokoly	Ferenc Szechenyi	Sandor Weores	Mihaly Vorosmarty	D	SPRACHE
6	Basierend auf wessen Kurzgeschichten wurde der Film The Wonderful Journey of Cornelius Esti gedreht?	Frigyes Karinthy	Gyula Krudy	Dezso Kosztolanyi	Geza Csath	C	LITERATUR
7	Welche der folgenden Volker haben Pyramiden gebaut?	die Buschmanner	die Mayas	die Wikinger	die Hunnen	B	GESCHICHTE
8	Welchen Stoffen kann Starke zugeordnet werden?	Fette	Proteine	Kohlenhydrate	Vitamine	C	BIOLOGIE
9	Welcher Sanger heisst mit burgerlichem Namen Thomas Woodward?	Ozzy Osborne	Tom Jones	Tom Petty	Tom Waits	B	MUSIK
10	In welchem Film von Roman Polanski spielt Jack Nicholson die Hauptrolle?	Tanz der Vampire	Chinatown	Bitterer Honig	Rosemarys Kind	B	FILM
11	Welchen der folgenden Orte besucht Candide?	Atlantis	Eldorado	Feld von Elysium	Unterwelt	B	LITERATUR
1	Mit was fur "Wasser" bespritzt man Ostern?	Kaktus	Rose	vergiss deinen Namen	Mimose	B	ALLGEMEINES
2	Welches alte Sprichwort bezieht sich auf spate Hilfe, spate Vorsicht?	Ein Regenschirm nach einem Platzregen.	Umhang nach Regen.	Hut nach einem Gewitter.	Er trauert nach dem Segen des Himmels.	B	ALLGEMEINES
3	Was ist Bridget Jones im Titel des Erfolgsfilms?	sein Laptop	sein Tagebuch	Notizbuch	Kalender	B	FILM
4	Welcher Feiertag geht direkt auf Palmsonntag zuruck?	Weihe von Kerzen	Ostern	Pfingsten	Weihnachten	B	RELIGION
5	Zu welcher Pflanzenfamilie gehort Bambus?	Graser	Palmen	Bananen	Eisengraser	A	BIOLOGIE
6	Die Platten welcher Sangerin sind "Like A Virgin" und "True Blue"?	Cher	Madonna	Whitney Houston	Diana Ross	B	MUSIK
7	Wer ist der Autor des Gedichts "Anna ist ewig"?	Balint Balassi	Mihaly Vitez Csokonai	Gyula Juhasz	Arpad Toth	C	LITERATUR
8	Wer war die ungarische Konigin Ludwigs des Grossen, Maria?	Mutter	ihre Schwester	seine Tochter	Nichte	C	GESCHICHTE
9	Wer hat unseren Namen Etelka erfunden?	Andras Dugonics	Mor Jokai	Mihaly Vorosmarty	Goldener Johannes	A	LITERATUR
1	Frei nach dem Sprichwort, was wird aus einem Hund nicht?	Traber	einseitig	Speck	Fettleber	C	ALLGEMEINES
2	Was bedeutet der Begriff "à la carte"?	laut Kellner	laut Speisekarte	laut Karte	nach dem Himmel	B	ALLGEMEINES
3	Welcher unserer ungarischen Tanzsanger hatte gemeinsame Lieder mit Geza Hofi?	Janos Koos	Gyorgy Korda	Laszlo Aradszky	Schlagzeuger Attila	A	MUSIK
4	Wer ist der Autor der folgenden Zeilen? "Fur diejenigen, die daruber fliegen, ist diese Landschaft eine Landkarte ..."	Mihaly Vorosmarty	Endre Ady	Attila Jozsef	Miklos Radnoti	D	LITERATUR
5	Havasalfold liegt auf dem Territorium welchen heutigen Landes?	Ukraine	Rumanien	Polen	Truthahn	B	ERDKUNDE
6	Wo spielt die beliebte TV-Serie Emergency?	in Atlanta	In Miami	In Chicago	in Anchorage	C	FILM
7	Mit welcher ethnischen Gruppe in Ungarn ist die Bustour verbunden?	Ich verkaufe	so viele	Ruthenen	Hutten	B	UNGARN
8	Welches Tier ist der Titel eines Duetts von Rossini?	Bar	Kuckuck	Esel	Katze	D	OPER
9	Wer erweckt Lara Croft, die Heldin weltberuhmter Computerspiele, auf der Leinwand zum Leben?	Denise Richards	Angelina Jolie	Jennifer Lopez	Sandra Bullock	B	FILM
10	Welcher US-Prasident kundigte das Apollo-Weltraumprogramm an?	Truman	Kennedy	Nixon	Eisenhower	B	GESCHICHTE
11	In wessen Werkstatt hat Leonardo da Vinci studiert?	Mantegna	Masaccio	Verona	Verrocchio	D	KUNST
1	Wie funktioniert jr. Der Titel einer bekannten Operette von Johann Strauss. Eine Nacht...?	nach der Hochzeit	und sonst nichts	In Venedig	am See Venedig	C	OPER
2	Was ist ein Anhanger?	Stoff	Geschaftshaus	Werkzeug	Stangenbohnen	A	ALLGEMEINES
3	Wie gross ist die Summe der Innenwinkel des Vierecks?	0	90	180	360	D	WISSENSCHAFT
4	Wie geht es weiter mit dem bekannten Vorosmarty-Zitat? "Das macht Spass, …!"	Es war eine gute Sache	es war ein fluchtiges Spiel	es war ein gesegnetes Leben	es war ein Mannerjob	D	LITERATUR
5	Was fur eine Kolonie war das heutige Algerien?	Niederlandisch	Belgier	Spanisch	Franzosisch	D	GESCHICHTE
6	Wie viele Jahre betrachten wir als einen menschlichen Morder?	25-35	50	75-85	100	A	ALLGEMEINES
1	Wo steht der auf dem Lehrerpult?	kalodan	in der Kathedrale	Katapult	in einem Kessel	B	ALLGEMEINES
2	Welcher der folgenden ist der Titel eines Petofi-Gedichts?	Wie begrusse ich Sie?	Wie passe ich mich an?	Wie soll ich Sie nennen?	Wie oft rufe ich dich an?	C	LITERATUR
3	Welches Paar ist die Titelfigur von Zeffirellis weltberuhmtem Film von 1968?	Csongor und Tunde	Tristan und Isolde	Romeo und Julia	Von Orpheus und Eurydike	C	FILM
4	Welches Wort ist falsch geschrieben?	Revue	Gelassenheit	Schlagloch	Zeuge	B	SPRACHE
5	Das antike Sparta, beruhmt fur seine militarische Disziplin, befindet sich auf dem Territorium welchen heutigen Staates?	agypten	Griechenland	Italien	Truthahn	B	GESCHICHTE
6	Das Spiel welcher beiden ungarischen Fussballklubmannschaften wird als "ewiges Spiel" bezeichnet?	Kispest - MTK	Ujpest - FTC	FTC-MTK	Eisen - FTC	C	SPORT
7	Welcher exzellente Rockmusiker grundete 1973 die Band Skorpio?	Adam Turk	Charlie Horvat	Tibor Tatra	Karoly Frenreisz	D	MUSIK
8	Wo fand 1991 das Gipfeltreffen der Staats- und Regierungschefs von Ungarn, der Tschechoslowakei und Polen statt?	Szekesfehervarto	In budapest	in Visegrad	in Estergom	C	GESCHICHTE
9	Wie wurde der Mythologie zufolge Aphrodite geboren?	aus dem Schaum des Meeres	aus einem Schwanenei	von den Sonnenstrahlen	aus einem Apfelkern	A	RELIGION
10	An welchem See liegt Chicago?	Huronsee	Eriesee	Lake Michigan	Ontariosee	C	ERDKUNDE
11	In welcher der folgenden Stadte wurde die Universitat am fruhesten gegrundet?	Heidelberg	Paris	Bologna	Krakau	C	WISSENSCHAFT
12	Mit welchem Ergebnis gewann Richard Fosbury den Hochsprung bei den Olympischen Spielen in Mexiko?	219cm	224cm	226cm	230cm	B	SPORT
1	Was schieben sie der Person, die sie argern, "unter die Nase"?	Mais	brot	Pfeffer	Zauberstab	C	ALLGEMEINES
2	Welches der folgenden Dinge wird Dungeon genannt?	Leuchtturm	unterirdisches Gefangnis	alte Belagerungsmaschine	Australische Ratte	B	SPRACHE
3	Wofur hat jemand, der an Pyromanie leidet, eine unstillbare Leidenschaft?	Schreiben	der Diebstahl	Brandstiftung	Firmengrundung	C	SPRACHE
4	Welches "Eis" steckt im Titel von Steven Seagals Actionfilm?	flammend	Karate-Lehrer	schweben	schmelzen	A	FILM
5	Wie heisst der Legende nach der griechische Philosoph, der in einem Fass lebt?	Diomedes	Dionysos	Diogenes	Diokletian	C	GESCHICHTE
6	Wie heisst eine Pflanzenfamilie?	Stelzen	Storche	Storche	Storche	C	BIOLOGIE
1	Wer passt laut Sprichwort nicht in ein Wirtshaus?	funf Igel	vier Tamburine	drei Akkordeons	zwei Dudelsacke	D	ALLGEMEINES
2	Welche der folgenden Farbnuancen lassen sich mit der Vorsilbe "Rost" ausdrucken?	grun	blau	braun	gelb	C	ALLGEMEINES
3	Was machen die Tschechen mit Klossen?	sie trinken es	sie essen es	sie tanzen weg	Sie spielen Karten mit ihm	B	ALLGEMEINES
4	Welches Namenspaar gehort dem ehemaligen sowjetischen Politiker Chruschtschow?	Wladimir Iljitsch	Josif Viszarionovich	Sergejewitsch Nikita	Iljitsch Leonid	C	GESCHICHTE
5	Welcher der folgenden ist der Titel eines Gogol-Werks?	Schlachten eines Kosaken	Notizen eines Kommissars	Das Leben eines Musikers	Tagebuch eines Verruckten	D	LITERATUR
6	Wie heisst die hohe, sich nach oben verjungende Gedenksaule?	Obsidian	geh dorthin	Obelisk	Odeon	C	SPRACHE
7	In welchem Film spielt Julia Roberts eine Braut, die von ihrer Hochzeit weglauft?	Altarfrau	Mein Partner ist ein Star	Was fur eine Frau!	Stoppen Sie den Hochzeitszug!	A	FILM
8	Durch welche Art von Regisseur wurde Matyas Beketow beruhmt?	Theater	Zirkus	Champagner Fabrik	Autofabrik	B	ALLGEMEINES
9	In welchem Baustil wurde das Budapester Opernhaus gebaut?	klassizistisch	Neorenaissance	neobarock	neugotisch	B	DIE ARCHITEKTUR
10	Wer hat II. Das eigene Grab von Papst Gyula zu entwerfen?	Leonardo da Vinci	Michelangelo	Raffael	Donatello	B	DIE ARCHITEKTUR
11	Wann wurde das Ungarische Rote Kreuz gegrundet?	im Jahr 1867	1881	im Jahr 1895	im Jahr 1910	B	ALLGEMEINES
1	Wie lautet der populare Name fur eine ungewohnlich grosse Person?	Wolkenkratzer	Himmelskalkung	Turmfilm	Barenversteck	B	SPRACHE
2	Welche der folgenden Rassen ist keine Hunderasse?	Basset	Bartiger Collie	Dogge	Chinchilla	D	BIOLOGIE
3	Welcher der folgenden ist der Titel eines bekannten Petofi-Gedichts?	Mein Fruhling in Papa	Ein Sommer in Kolto	Ein Herbst in Patak	Ein Winter in Debrecen	D	LITERATUR
1	Wie lange studiert ein guter Priester, sagt das Sprichwort?	zu Kerzenstandern	zu Tode	bis zum Morgengrauen	bis zu Prufungen	B	SPRACHE
2	Woher kommt der Name Zoran?	Franzosisch	Latein	Slawisch	Deutsch	C	SPRACHE
3	Wer war der Vater des Anfuhrers arpad?	Schlafrig	Geza	Auf Kurs	Vorfahr	A	GESCHICHTE
4	Welches Wort wird nach den ungarischen Regeln falsch geschrieben?	Unterschied	Pudding	Aquarell	intelligent	B	SPRACHE
5	Was fur ein Tier nennt der Volksmund artany?	Wildschwein	Buffel	Schwein	Wolf	C	BIOLOGIE
6	Was fur eine Kunstlerin war die weltberuhmte Maria Callas?	Balletttanzer	Bildhauer	Opernsanger	Maler	C	KUNST
7	Wer zerstorte Kiew im XIII. Mitte des Jahrhunderts?	sie sind sehr alt	Tataren	Turkisch	Ich bin Alan	B	GESCHICHTE
8	Was fur ein Kaiser ist der Protagonist von Bertoluccis Film "Der letzte Kaiser"?	Deutsch-romisch	athiopisch	osterreichisch	Chinesisch	D	FILM
1	Was ist ein anderer Name fur einen Reissverschluss?	Blitz	Klettverschluss	Gurtschloss	intimes Schloss	A	ALLGEMEINES
2	Was fur ein Tintenfisch ist die Titelfigur von Shakespeares Theaterstuck?	Florentiner	von Verona	Venezianisch	aus Mailand	C	LITERATUR
3	Welche Tierarten tragen die Namen braun, grau, malaiisch, stachelig und eisig?	Rogen	Tiger	Bar	Hase	C	BIOLOGIE
4	Was ist die offizielle Abkurzung fur den mathematischen Begriff Kotangens?	c	CG	ctg	ctng	C	WISSENSCHAFT
5	Welcher Name ist ungarischen Ursprungs?	Benjamin	Bernat	Bruno	Er buht	D	SPRACHE
6	Wer ist verantwortlich fur die Grundung des Schauspielerheims von Mari Jaszai und arpad odry?	Gobi Hilde	Eva Ruttkai	Klari Tolnay	Mari Torocsik	A	THEATER
7	Was war laut Bibel der ursprungliche Beruf von Konig David?	Schafer	Handler	Fischer	Soldat	A	RELIGION
8	Welches Nationalteam gewann 2001 die Basketball-Europameisterschaft der Frauen?	Frankreich	Jugoslawien	Russland	Litauen	A	SPORT
1	Was versteht der Hajdu laut dem bekannten Sprichwort nicht?	zum Schnitzen von Grabsteinen	fur den Glockenguss	fur die Pferdezucht	zum Rauchern von Schinken	B	SPRACHE
2	Welcher Vogel steckt im Namen der absurden Theatergruppe von Miklos Galla?	Turmfalke	Blasshuhner	Rabe	goldene Himbeere	C	ALLGEMEINES
3	Was fur ein Mensch wurde fruher Gigerli genannt?	Rennmaus Zuchter	Bandverkaufer	Bimsstein	hoher Vokaltrakt	C	SPRACHE
4	Wer ist das romische aquivalent zu Hades, dem griechischen Gott der Unterwelt?	Pollux	Pygmalion	Pluto	Pallas	C	RELIGION
5	Der sezierte Teil welchen Tieres wird seine Schnauze genannt?	Delikt	das Vieh	Ente	Hase	A	KuCHE
6	Wie heisst die Adoptivtochter von Jean Valjean im Roman Les Miserables?	Marie	Cosette	Charlotte	Anne	B	LITERATUR
7	Charlton Heston erhielt fur seine Darstellung in welchem Film einen Oscar?	Zehn Gebote	Spartakus	Ben Hur	Quo vadis?	C	FILM
1	Wie lange laufen Bankkredite?	Krampfanfall	Tempo	Rennen	Verstauchung	C	ALLGEMEINES
2	Wie heisst ein rauberisches Insekt, das auch in Ungarn lebt?	Einsiedler	Gebetsrezitation	ehrfurchtig	pummelig	C	BIOLOGIE
3	Wer heisst Abbe in Frankreich?	Strassensperren	faire Komodien	arzte	weltliche Priester	D	ALLGEMEINES
4	Wer traf sich ursprunglich auf dem Jamboree?	Diplomaten	Pfadfinder	Weltraumforscher	Filmkunstler	B	ALLGEMEINES
5	In welcher Stadt kann Leonardos Fresko "Das letzte Abendmahl" besichtigt werden?	in Florenz	in Mailand	in Rom	In Venedig	B	KUNST
