Difficulty	Question	THE	B	C	D	Answer	Category
2	What kind of soldier was called a recruit?	rookie	dismantler	a deserter	volunteer	A	LANGUAGE
3	Where does he go who goes on the turf?	to the bank	to the casino	to the stock market	to the racetrack	D	LANGUAGE
4	What is the common name for ascorbic acid?	amino acid	hydrochloric acid	Vitamin C	methane	C	SCIENCE
5	According to Hamlet, what is "woman's name"?	nastiness	peccadillo	lust	vanity	B	LITERATURE
6	Which film won the Academy Award for Best Picture in 2001?	Chocolate	Gladiator	Tiger and dragon	Traffic	B	MOVIE
7	What does Tamas Ascher do?	director	opera singer	ballet dancer	painter	A	ART
8	What is the dominant religion in the Philippines?	Hindu	Islamic	Buddhist	Catholic	D	RELIGION
1	What were the knowledgeable women involved in the arts called?	green lace	blue stockings	purple jumpsuit	red beanie	B	GENERAL
2	What kind of vehicle do you have?	fighter plane	warship	submarine	tank	B	TECHNIQUE
3	What kind of fairy tale hero is in the work of Jen Jozsi Misi Tersanszky?	bear	squirrel	dwarf	dragon	B	LITERATURE
4	What is the title of Steven Spielberg's movie: "Indiana Jones and the Doom..."	his wife	church	power	whip	B	MOVIE
5	What's your tree like?	loud	boring	scattered	dreamer	B	LANGUAGE
6	Which settlement is not located on the southern shore of Lake Balaton?	Fonyod	Badacsony	Zamardi	Siofok	B	GEOGRAPHY
7	Which Hungarian referee won an Olympic gold medal as a footballer?	Karoly Palotai	Laszlo Vagner	Alexander Puhl	Istvan Zsolt	A	SPORTS
8	Janos Husz, who was burned as a heretic, was a teacher at the university of which city?	Paris	Prague	Bologna	Oxford	B	HISTORY
9	Where is a bilux light in a car?	in the index	in the headlight	in the reversing light	in the interior lighting	B	TECHNIQUE
10	Which rock band wrote the soundtrack to the Antonioni film "Zabriskie Point"?	Led Zeppelin	Pink Floyd	Dire Straits	Yes	B	MOVIE
1	What do you call a gluttonous person?	belly button	stomach churning	stomach spider	laxative	C	GENERAL
2	What kind of word is in the title of Endre Ady's poem?	royal	count	Spanish	Palatine	B	LITERATURE
3	In which art did Gyorgy Solti become world famous?	sculpture	painting	film art	music art	D	ART
4	On which continent is Swaziland located?	Africa	Australia and Oceania	Asia	South America	A	GEOGRAPHY
5	When is the autumnal equinox in the Northern Hemisphere?	September 23	September 27	October 23	October 27	A	SCIENCE
6	In which opera is the Humming Chorus performed?	Verdi: Traviata	Puccini: Miss Butterfly	Mascagni: Peasant honor	Rossini: Vilmos Tell	B	OPERA
1	According to the saying, what does someone who monotonously repeats a text they have heard or learned do?	cuckoo	lark bowl	ear canal	parrot	D	GENERAL
2	Which of the following can be "stentoric"?	voice	hearing	silence	procrastination	A	GENERAL
3	According to the poem, where does Petfi stop at the sunset of the summer day?	in front of the family gate	under her baby's window	at the winding Tisza	in a wild pine forest	C	LITERATURE
4	Who will be interviewed in Tom Cruise and Brad Pitt's joint film?	with a mummy	with a vampire	with a werewolf	with a golem	B	MOVIE
5	Whose ruler was Karoly the Bald?	Englishmen	Vikings	francs	Byzantines	C	HISTORY
6	Where is Roswell, famous for the alleged UFO crash?	in Canada	In Great Britain	in Australia	in the USA	D	GENERAL
7	Who wrote the piano piece Hungarian Rhapsody?	Ferenc Liszt	Johannes Brahms	Bela Bartok	Ern Dohnanyi	A	OPERA
8	Which famous Hungarian historical figure was sentenced to death in absentia?	Ferenc Deak	age Gyulat Andrassy	Jozsef Eotvos	Janos Irinyi	B	HISTORY
9	What is the nationality of the rock band U2?	Irish	Australian	English	American	A	MUSIC
1	What does the blind man not see, according to the saying?	the meadow from poppies	the rose from the thorn	the horse from oats	the forest from the trees	D	LANGUAGE
2	Which priestly dignity can be the symbol of the color purple?	bishop	chaplain	chapterless	archbishop	A	RELIGION
3	In which art form did Zoltan Kocsis become world famous?	music	painting	film art	architecture	A	ART
4	Who was Delilah's lover in the Bible?	David	Samson	Moses	Joseph	B	RELIGION
5	Which country is Monaco's only neighbor?	Italy	Spain	France	Switzerland	C	GEOGRAPHY
6	Which of the following rocks is not of volcanic origin?	andesite	basalt	marble	tufa	C	GEOGRAPHY
7	orzse is the mother of the main character of which musical stage play?	Jen Huszka: Prince Bob	Zoltan Kodaly: Janos Hary	Ferenc Erkel: Gyorgy Dozsa	Kacsoh Pongrac: Brave Janos	B	OPERA
8	What is the title of a famous Hitchcock film?	Front door	Back window	Attic access	Blind window	B	MOVIE
9	Who was the German chancellor during the 1972 Munich Olympics?	Willy Brandt	Konrad Adenauer	Helmut Schmidt	Helmut Kohl	A	HISTORY
10	Which city's skyline is on the ten thousand HUF banknote?	Buddha	Esztergom	Mouse	Muddy stream	B	GENERAL
11	What was the Russian unit of measure, the pud, used to measure?	tonnage	length	weight	area	C	SCIENCE
12	Which of the following did not win the Academy Award for Best Picture?	Now and forever	Some people like it hot	The sound of Music	Around the Earth in 80 days	B	MOVIE
13	When did the Museum of Fine Arts officially open?	in the reform era	in the year of settlement	the XX at the beginning of the century	the II. after World War II	C	GENERAL
14	Which of the following operas is not part of Puccini's Triptych?	The cloak	Daughter of the West	Sister Angelica	Gianni Schicchi	B	OPERA
15	Who was called kenez in Transylvania?	the village judge	the village priest	the village teacher	the village gendarmerie	A	LANGUAGE
1	What kind of wood is used to support and fasten railroad tracks?	shamf	plywood	sleeper	satrap tree	C	GENERAL
2	Who uses the palette while creating?	coppersmiths	poets	painters	composers	C	GENERAL
3	According to the folk song, where do many fish spawn?	in the Danube	in Balaton	in the Tisza	in Lake Venice	B	LITERATURE
4	The parliament of which state is the Duma?	Bulgaria	Poland	Russia	Romania	C	GENERAL
5	Which of the following foods is one of the ingredients of bird's milk?	cottage cheese	egg	walnut	jam	B	KITCHEN
6	Which of the following Northern European countries is not a constitutional monarchy?	Denmark	Norway	Sweden	Iceland	D	COUNTRIES
7	Which historical figure did Aram Khachaturja write a ballet about?	Napoleon	Spartacus	Miltiades	Columbus	B	ART
8	What experiments was Bikini Atoll the site of?	American atomic bomb	French ornithology	marine biological	earthquake research	A	SCIENCE
9	On which river is Turin located?	Piave	Arno	Poe	Tevere	C	GEOGRAPHY
1	Where, according to the saying, does the foodie live?	also in a bear cave	also in a pack of wolves	also on the back of ice	even with a married woman	C	LANGUAGE
2	According to folklore, the sleepwalker is pathologically attracted to which celestial body?	To the moon	For the day	To Venus	To Mars	A	GENERAL
3	What opera about "honor" did Mascagni write?	worker	outlaw	woman	peasant	D	OPERA
4	What did women use in the 19th century? century the vegetable?	worn as a garment	they cooked in it	to hold meetings	to make music	A	LANGUAGE
5	Where can you view the archaeological find known as Lehel's horn?	in Veszprem	in Jaszbereny	in Debrecen	in Sopron	B	HUNGARY
6	Eusebio was a member of which country's national team?	Portugal	Spain	Brazil	Argentina	A	SPORTS
1	How does the saying express that someone has counted himself out?	He ran the wrong greyhound	He shot the wrong rabbit	He put me on the wrong horse	He molested the wrong bear	C	LANGUAGE
2	In which organ is the iris?	ear	heart	eye	brain	C	BIOLOGY
3	What does a woman wear?	nails	her hair	hand	eyelids	B	GENERAL
4	Who was the national defense minister of the Antall government?	Geza Jeszenszky	Lajos Fur	George Keleti	Gyorgy Szabad	B	HISTORY
5	Which band was founded by Rezs Soltesz?	Express	Apostle	Corvina	Neoton	C	MUSIC
6	Who won the Oscar for Best Actress in 2001?	Sharon Stone	Julia Roberts	Kim Basinger	Juliette Binoche	B	MOVIE
7	How many points should you not stop in the card game called twenty-one?	15	16	17	18	A	GAME
8	Which band did Peter Gabriel and Phil Collins play in?	Pink Floyd	Yes	Genesis	Dire Straits	C	MUSIC
1	What is another name for your drinking buddy?	beer brother	beer brother-in-law	spirit brother	splash	C	GENERAL
2	What kind of person does the vernacular call golyho?	chubby	simple	he is bald	clever	B	LANGUAGE
3	Polonium was named after which country?	Portugal	Poland	Czech Republic	France	B	SCIENCE
4	What was the nationality of Ayrton Senna, the Formula 1 driver who died in tragic circumstances?	Spanish	Argentine	Italian	Brazilian	D	SPORTS
5	Who was elected prince of Transylvania in 1704?	Janos Kemeny	Imret Thokoly	II. Apafi Mihalyt	II. Ferenc Rakoczi	D	HISTORY
6	Which apostle plunged his fingers into Jesus' wounds to confirm his resurrection?	Peter	Jakab	Thomas	Andrew	C	RELIGION
7	What animals are armadillos?	Pisces	birds	crabs	reptiles	A	BIOLOGY
1	What insect is a swimming genus named after?	grasshopper	ant	butterfly	wasp	C	SPORTS
2	How many degrees are the interior angles of an equilateral triangle?	180	60	90	45	B	SCIENCE
3	The novel Tamas batya kunyhoja is closely related to which nation's civil war?	American	English	Spanish	Russian	A	LITERATURE
4	How can some unicellular organisms move?	with a duck	with a tendril	with eyelashes	with a tentacle	C	BIOLOGY
5	What kind of soup does someone who cooks cauliflower soup make?	broccoli	cauliflower	kohlrabi	cabbage	B	KITCHEN
6	The ruins of ancient Carthage are located in the territory of which present-day state?	Greece	Libya	Turkey	Tunisia	D	HISTORY
7	Geometric shapes are the typical representational tools of which visual art trend?	eclecticism	Fauvism	cubism	activism	C	ART
1	What is the name of offensive, fake music?	dog music	pig music	cat music	sheep music	C	GENERAL
2	What animals have humps?	for birds	for fish	for amphibians	for reptiles	A	BIOLOGY
3	Which of the following countries has no coastline?	Albania	Bulgaria	Slovenia	Macedonia	D	GEOGRAPHY
4	Which expression is used during a katy game?	banzai	buggy	party	spree	C	GAME
5	Which Hungarian king captured Vienna?	Laszlo I	II. Andrew	Louis the Great	Matthias	D	HISTORY
6	What is the central theme of the epic The Iliad?	the search for the golden fleece	revolt of the titans	the birth of the gods	Siege of Troy	D	LITERATURE
7	On whose album is the track Lovolde ter?	Gabor Presser	Soon	Andras Kern	Peter Geszti	C	MUSIC
8	Whose baptism does Gyula Benczur's famous painting depict?	Jesus	Saint John	Butter	For Saint Gellert	C	ART
9	In which country did the whistlers serve?	China	India	Japan	Egypt	B	HISTORY
10	In which Verdi opera is the famous Freedom Duet performed?	Aida	The troubadour	Don Carlos	Nabucco	C	OPERA
1	How does the proverbial irresponsible spender scatter his money?	left hand	with the right hand	with gloved hands	with two hands	D	GENERAL
2	Why is it "good to be a soldier now" according to the folk song?	because the war is over	because the uniform is new	because they are recruiting for Kossuth	because the captain is getting married	C	LANGUAGE
3	What are unsold copies called in the magazine?	reprint	remittance	review	referendum	B	GENERAL
4	In which country is Capeland located?	Argentina	Australia	Republic of South Africa	India	C	GEOGRAPHY
5	In which sport did the Jonyer-Klampar couple win the world championship?	tennis	figure skating	table tennis	kayak canoe	C	SPORTS
6	The landmark of which city is the huge statue of Christ with outstretched arms?	Manila	Buenos Aires	Rio de Janeiro	Veracruz	C	COUNTRIES
7	Which movie hero was shaped by Harrison Ford?	Obi-Wan Kenobi	Indiana Jones	Hercule Poirot	Ben Hur	B	MOVIE
8	The novel My Father is the memoir of the daughter of which famous writer?	Laszlo Nemeth	Zsigmond Moricz	Gyula Illyes	Ferenc Mora	A	LITERATURE
1	Which word is used in the trade to denote cheese?	bulk	ruined it	punched	poached	A	KITCHEN
2	How did the Indians make the canoe?	they were fired from clay	hollowed out of a tree trunk	reeds were tied together	woven from palm leaves	B	GENERAL
3	What works made the French Herve famous?	his paintings	his operettas	mosaics	his sculptures	B	ART
4	In which of our counties is the city of Mako, famous for its onions, located?	Fierce	Bacs-Kiskun	Csongrad	Hajdu-Bihar	C	HUNGARY
5	Which one was called a dramolett?	the overweight actress	the shorter play	the older female role	the smaller theater	B	THEATER
6	Nights and Days was the first LP of which singer?	Pal Szecsi	Gyorgy Korda	Peter Matthew	Janos Koos	C	MUSIC
7	Vidkun Quisling was the prime minister of which country during World War II. during World War II?	France	Norway	Belgium	Italy	B	HISTORY
1	Who are the main characters of the series Emergency?	car racers	police officers	doctors	commandos	C	MOVIE
2	What part do we call the largest part of something?	elephant	mammoth	Lion	whale	C	LANGUAGE
3	What is Tigger's favorite food in Milne's Pooh?	the honey	the thistle	castor oil	cod liver oil	D	LITERATURE
4	Which of the following is not a peninsula?	Crimea	Balkan	Labrador	Greenland	D	GEOGRAPHY
5	Who fought the Peloponnesian War?	Rome and Carthage	Athens and Sparta	Lord and Lord	Memphis and Thebes	B	HISTORY
6	Which actress won an Oscar for her performance in Ghost?	Whoopi Goldberg	Demi Moore	Michelle Pfeiffer	Barbra Streisand	A	MOVIE
7	Which band owned the LP "Fifth Speed"?	Hungary	Bergendy	Neoton Familia	Express	B	MUSIC
8	In which city was Mozart's opera Don Giovanni premiered?	Venice	Vienna	Prague	Salzburg	C	OPERA
1	According to the saying, what happens to those who drink the water of the Tisza?	he longs back	he sees a mirage	he will not be thirsty	it turns gray	A	LANGUAGE
2	In which sea is the island of Sicily?	Aegean sea	Baltic Sea	North Sea	Mediterranean Sea	D	GEOGRAPHY
3	What is the term used to refer to a military uniform?	straitjacket	angel skin	buckball	hussar's robe	B	LANGUAGE
4	Who do we see in the works of art depicting puttos?	harvesting workers	mythological monsters	chubby angels	early Christian martyrs	C	FINE ARTS
5	Which of the following is the title of a popular Zilahy novel?	The wind is blowing something	The water carries something	The pine whispers something	Misery dreams of something	B	LITERATURE
6	Where was the dance of the Bayaders originally seen?	in Japan	in Argentina	In Egypt	in India	D	ART
7	Which is the most completely transformed, oldest type of coal?	anthracite	lignite	on lignite	on black stone	A	GEOGRAPHY
1	What is the name of a two-player game?	bacterium	bacillus	into amoeba	algae	C	GAME
2	What queen did Imre Kalman write an operetta about?	bee	fairy	English	tavern	D	OPERA
3	Havana is the capital of which country?	Guatemala	Honduras	Panama	Cuba	D	COUNTRIES
4	Whose gathering and burial places were the catacombs?	Egyptian slaves	first Christians	Roman aristocrats	medieval monks	B	HISTORY
5	Where was high school teacher Janos Arany?	Nagysalontan	Kisujszallas	Nagykros	Aradon	C	LITERATURE
6	In which city can the Balint Balassi Museum be visited?	in Esztergom	Tatan	in Eger	In Gyr	A	HUNGARY
7	Who is the main character in Jean-Luc Godard's movie Until You Suffocate?	Alain Delon	Jean-Paul Belmondo	Pierre Richard	Gerard Depardieu	B	MOVIE
8	Which of our Olympic champions did not win a gold medal in athletics?	Colonial Olga	agnes Keleti	Mrs Ibolya Csak Kadar	Angela Nemeth	B	SPORTS
9	In which city was NATO founded in 1949?	in Brussels	in Washington	in Paris	in Newyork	B	HISTORY
10	Which famous writer's original name is Jozsef Brenner?	Istvan Tomorkeny	Geza Csath	Sandor Marai	Jen Rejt	B	LITERATURE
1	Which word denotes a type of boot?	primate	hitting on me	ramp	cramming	B	LANGUAGE
2	Which of our organs has a root and a crown?	eye	heart	will	ear	C	BIOLOGY
3	What closet did Ferenc Farkas write his comedy about?	refrigerator	armor	mirrored	magic	D	OPERA
4	Which animal is not a ruminant?	goat	giraffe	tapir	cattle	C	BIOLOGY
5	To which biblical city did the Lord send Jonah to warn its inhabitants to repent?	Nineveh	Jericho	Sodom	Jerusalem	A	RELIGION
1	What is another name for a double bed?	Prussian bed	spartan bed	double bed	sofa bed	C	GENERAL
2	What is the Korhely man like?	sitting at home	entertainer	very old	rude	B	LANGUAGE
3	In which Italian city can we see the ancient ruins of the Circus Maximus?	Milan	Taranto	Naples	Rome	D	HISTORY
4	Which type of saw is it?	foxtail	hairy	cat's whiskers	mouse tooth	A	GENERAL
5	What is Papageno's occupation in Mozart's opera The Magic Flute?	birdwatcher	fisherman	hunter	canadian	A	OPERA
6	In which county is the town of Szentes located?	peaceful	Fierce	Csongrad	Tolna	C	HUNGARY
7	Who was prime minister Istvan Tisza to Prime Minister Kalman Tisza?	his father	son	his cousin	his brother	B	HISTORY
8	Who wrote a one-act play entitled Dunakanyar?	Ferenc Karinthy	Istvan orkeny	Endre Illes	Imre Sarkadi	A	LITERATURE
1	What is the name of a dish made with dumplings and hot dogs?	bulldog	Danish dog	hot dog	pit bull	C	KITCHEN
2	What kind of insect is the mosquito that lives in the tropics?	ant	bug	mosquito	dragonfly	C	BIOLOGY
3	What means of transport is in the title of one of the songs of the band Fonograf?	the last subway	the first tram	the lost trolley	the broken bus	B	MUSIC
4	What is called a dacha in Russia?	string instrument	holiday home	intended for two horses	Siberian fox	B	LANGUAGE
5	Ridley Scott's Hannibal is a sequel to which film?	The eighth passenger: death	Silence of the Lambs	Gladiator	Seventh	B	MOVIE
6	Which country's national team won the 2001 European Women's Water Polo Championship?	Yugoslavia	Hungary	Italy	The Netherlands	B	SPORTS
7	Laszlo Nemeth wrote a drama about which famous scientist?	Newton	Galileo	Darwin	Linnaeus	B	LITERATURE
8	Which lost animal is one of Jesus' parables about?	donkey	dog	sheep	pig	C	RELIGION
9	Which country did the famous painter Edvard Munch come from?	England	Sweden	Norway	Scotland	C	ART
10	Who was the first director of the Hungarian Theater in Pest, which opened in 1837?	Gergely Csiky	Jozsef Bajza	Ede of Szigliget	Paulay Ede	B	THEATER
11	Who was not one of the film comedians Marx Brothers?	Groucho	Harold	Chico	Harpo	B	MOVIE
12	In which country was the world-famous guitarist Carlos Santana born?	Brazil	USA	Mexico	Cuba	C	MUSIC
1	Who will fight the bull in the bullfight?	conquistador	bullfighter	inquisitor	terminator	B	GENERAL
2	What kind of fine art is watercolor?	watercolor	oil painting	etching	woodcut	A	FINE ARTS
3	What was the common European name for the office of the Turkish Grand Vizier?	vilayet	door	seraglio	turbe	B	HISTORY
4	At which track is the Formula 1 Italian Grand Prix held?	Interlagos	Monza	Imola	Monte Carlo	B	SPORTS
5	Who are the heroes of Haho, Ocsi! fairy tale film?	Berzzian and Dideki	Vacskamati and Mikkamakka	Kokojszi and Bobojsza	Lolka and Bolka	C	MOVIE
6	Falstaff is a character in which play?	The Salem Witches	Windsor comedy women	Macbeth	The miser	B	LITERATURE
1	What is the stage name of today's popular magician who "penetrated" the Great Wall of China?	Tom Sawyer	David Copperfield	Oliver Twist	Mowgli	B	GENERAL
2	What "little animals" are single-celled?	mommy	slippers	excuse me	moccasins	B	BIOLOGY
3	Which term is used in the card game called kanasta?	icing	freezing	melting	boiling	B	GAME
4	Rakoczi Castle is a landmark of which settlement?	Strawberry	Muddy stream	Knife brand	Bartwood	B	HUNGARY
5	What is the name of a virtuoso cycle of poems edited according to strict rules?	ballad singing	sonnet wreath	a bunch of songs	ode flower	B	LITERATURE
6	What artefacts did Ferenc Hopp's collection donated to the Hungarian state consist of?	Italian Renaissance	French Impressionist	far Eastern	Central African	C	ART
1	From which part of the house did the upper vault of the oral cavity get its name?	roof	cellar	hard	attic	D	BIOLOGY
2	Which one is measured with traffipax?	the driver's alcohol level	the speed of vehicles	the composition of the exhaust gas	the wear resistance of the tire	B	GENERAL
3	Which theater was eva Ruttkai a member of from 1951 until her death?	National Theatre	Comedy theater	Madach Theater	Jozsef Attila Theater	B	THEATER
4	How did Danton die?	killed in street fights	had an accident	was executed	poisoned	C	HISTORY
5	Which art form is Cameron Diaz a representative of?	painter	sculptor	actor	singer	C	ART
6	In which sport did Peter Farkas win a gold medal at the 1992 Barcelona Olympics?	boxing	wrestling	pentathlon	judo	B	SPORTS
7	What do Italians do with cannelloni?	they eat it	they travel on it	they play music with it	they drink it	A	LANGUAGE
8	What is the title of Francoise Sagan's famous work? "Do you like …?"	Mozart	Schubert	Bach	Brahms	D	OPERA
9	In which city is Puccini's opera Turandot set?	in Beijing	in Seville	in Paris	in Boston	A	MUSIC
10	Which animal name can be prefixed with musk other than pock?	raja	deer	squirrel	coat	B	BIOLOGY
11	Whose student was Jozsef Rippl-Ronai?	Laszlo Paal	Mihaly Munkacsy	Gyula Benczur	Bertalan Szekely	B	ART
1	According to the saying, what does someone who tries without seeing the right solution do?	stumbling in the basement	groping in the dark	caving without a lantern	torchless motorcycle	B	LANGUAGE
2	Which bird name is spelled incorrectly?	carvallo	Seagull	parrot	stork	C	LANGUAGE
3	Which preserves the name of the French woman Recamier?	a recliner	a type of textile	a type of ship	a card game	A	LANGUAGE
4	Which city received the right to host the 2008 Summer Olympic Games?	Toronto	Paris	Athens	Peking	D	SPORTS
5	Who used to be the supervisor of measuring drinks in the city pubs?	shunt master	wine judge	inn commissar	sergeant	B	GENERAL
6	What is the title of Marco Ferreri's famous scandal movie: "The big ..."	drinking	bad luck	gobbling up	courtesan	C	MOVIE
7	The president of the republic of which country was the victim of the assassination, Anvar Szad?	Syria	Egypt	Sudan	Philippines	B	HISTORY
8	What was the name of the men who fished, hunted, and hunted birds in the marshland?	cook	pair of columns	Ordinance	goloncser	A	GENERAL
9	Which singer was a founding member of the band Scampolo?	Sandor Revesz	Mihaly Moricz	Laszlo Komar	Ferenc Szigeti	C	MUSIC
10	What animal is Bandi in Orwell's Animal Farm?	pig	Shoot	goat	donkey	B	LITERATURE
11	The king of which city is Sisyphus?	Smyrna	Eleusis	Corinth	Miletus	C	LITERATURE
12	Which of the listed composers is not classified as one of the creators of Viennese classicism?	Mozart	Haydn	Mahler	Beethoven	C	OPERA
1	What was the name of one of Thor Heyerdahl's legendary expeditions?	Riki-Tiki-Tevi	Kon-Tiki	King Kong	Ku-Kori	B	GENERAL
2	What kind of glaze is the isler coated with?	caramel	chocolate	marzipan	punch	B	KITCHEN
3	What kind of person did the vernacular call the voice actor?	poetic vein	way of eloquence	unreliable	profanity	C	LANGUAGE
4	What is the name of the trade route that has been used since prehistoric times and also passes through Hungary?	hemp road	amber road	silk road	ore way	B	HISTORY
5	Annie Fischer was a world-renowned artist of which instrument?	violin	cello	harp	piano	D	OPERA
6	Who did Montecuccoli's teams win against at Szentgotthard?	Prussians	French	Turkish	Austrians	C	HISTORY
7	What is the title of Sophie Marceau's first film?	They are howling	Homeparty	D'Artagnan's daughter	Cat food	B	MOVIE
8	Which of the following is henna used for?	for shipping	for adhesive production	for hair and body painting	for carpet weaving	C	GENERAL
9	What does the letter "W" mean in the name of US President George W. Bush?	Walker	Winston	William	Walter	A	GENERAL
1	The spring element of the firing mechanism of rifles bears the name of which poultry?	goose	turkey	rooster	guinea fowl	C	GENERAL
2	What tool was called a cheese in the vernacular?	single eared vessel	lesser degree	spitting spoon	carved newspaper stand	A	GENERAL
3	How many karats is colored gold?	18	20	24	42	C	SCIENCE
4	Which of the following is not a city on the banks of the Tisza?	Tokaj	Shack	Small circle	Jaszbereny	D	GEOGRAPHY
1	What kind of fairy tale is a transparent lie called?	midwife	nanny	au pair	baby sitter	B	GENERAL
2	What are chips made of?	from corn	from potatoes	of hazelnuts	from chestnuts	B	KITCHEN
3	Which of the following terms best describes a sanguine person?	flammable	cold-blooded	sad	considered	A	LANGUAGE
4	In which sea or ocean is the island of Mallorca?	Mediterranean Sea	Pacific ocean	Adriatic sea	Atlantic Ocean	A	GEOGRAPHY
5	In which country was Federic Chopin born?	French	Polish	Russian	Austrian	B	OPERA
6	The Grimaldi are the rulers of which European state?	Belgium	Spain	Monaco	Norway	C	HISTORY
1	What do conciliatory Indians dig, according to the saying?	bloody saddle	battle feather ornament	hatchet	scalping dagger	C	LANGUAGE
2	Which word means clown or bell pepper?	hector	harlequin	hippie	hippodrome	B	LANGUAGE
3	In which country is the Brittany peninsula located?	Canada	Belgium	France	Spain	C	GEOGRAPHY
4	At whose invitation does Bank ban return home at the beginning of the drama?	Gertrude	Melinda	Petur cares	Tibor	C	LITERATURE
5	Which of the following can be seladon?	an extinct primitive creature	a young suitor	a huge dog	an ashen hair	B	LANGUAGE
6	Who was the penultimate arpad house king?	III. Laszlo	ARC. Bela	ARC. Laszlo	III. Andrew	C	HISTORY
7	At which Olympics did the Hungarian national football team become Olympic champions for the first time?	1952 Helsinki	1960 Roman	1964 Tokyo	1968 Mexico City	A	SPORTS
8	Who directed the classic of Italian neorealist film Rome the Open City?	Federico Fellini	Roberto Rossellini	Vittorio De Sica	Michelangelo Antonioni	B	MOVIE
1	What is King Edward in the poem The Welsh Bards?	fallow	pale	gebe	lame	B	LITERATURE
2	How are some Central American countries called?	orange kingdoms	banana republics	lemon dictatorships	pineapple monarchies	B	COUNTRIES
3	What kind of Sunday do we call the last Sunday immediately before Christmas?	marble	ratio	diamond	platinum	B	RELIGION
4	What is the club color of the ujpest TE sports association?	blue and white	red-blue	green and white	purple and white	D	SPORTS
5	Which of the following is not a radioactive element?	magnesium	polonium	uranium	radium	A	SCIENCE
6	What does Parmesan cheese get its name from?	about an Italian city	about cow breed	about a monastic order	from a Sicilian mountain	A	KITCHEN
7	In which city is the Pergamon Museum located?	Athens	Berlin	Vienna	Paris	B	COUNTRIES
8	Which singer starred in "The Witches of Eastwick"?	Madonna	Whitney Houston	Cher	Suzanne Vega	C	MOVIE
9	About whom did the Italian humanist Galeotto Marzio write an anecdotal book?	About Cesare Borgia	About Leonardo	On Janus Pannonius	About King Matthias	D	LITERATURE
10	What did the trappers do?	by breaking in horses	with fur hunting	with gold washing	with tobacco cultivation	B	GENERAL
11	What animal was the name of the lunar shuttle from which the first man stepped on the moon?	Falcon	eagle	owl	albatross	B	GENERAL
12	In which year did Hungary join the UN?	1955	1949	1945	1958	A	HISTORY
1	What is the name of spirits flavored with herbal extracts?	bittersweet	bitters	liver acid	larynx cutter	B	GENERAL
2	How does the saying continue? "As many houses as there are..."	tax	landlady	habit	chamber	C	LANGUAGE
3	Which of the following is a waterfowl?	tern	strip	kiss	chirping	A	BIOLOGY
4	Which band sang about "Old scumbags"?	Elijah	Generate	Omega	Hungary	C	MUSIC
5	Which of the following European mini-states is a republic?	San Marino	Andorra	Monaco	Liechtenstein	A	COUNTRIES
6	What does someone who often turns polyglots like to read?	multi-volume books	multilingual books	DIY books	children's books	B	LANGUAGE
1	What is the name of a popular market stall?	fortune teller	Sandor tent	mint	small kitchen	D	GENERAL
2	What was the set of rules for duels called?	duel catalog	dueling codex	dueling brochure	duel index	B	GENERAL
3	What animal is Ears in Winnie the Pooh?	rabbit	donkey	elephant	spaniel	B	LITERATURE
4	The famous ruined city, Machu Picchu, is located in the territory of which present-day state?	Colombia	Peru	Chile	Brazil	B	HISTORY
5	Who wrote the piano piece Fur Elise?	Schubert	Beethoven	Chopin	Mozart	B	OPERA
6	Which of the following cities hosted the Olympics only once?	Rome	London	Paris	Los Angeles	A	SPORTS
1	What is not moved by the person who pretends to have heard nothing?	the apple of his eye	the freckles on his cheeks	the stick of his ear	tooth protein	C	GENERAL
2	What kind of drink is Tramini?	wheat beer	Skin	rum	orange juice	B	KITCHEN
3	Who is the god of the sea in Roman mythology?	Neptune	Mercury	Pluto	Saturn	A	RELIGION
4	Hepatitis is an infectious disease of which organ?	heart	kidney	lungs	liver	D	BIOLOGY
5	Enver Hoxha was the first member of the communist party of which country?	Albania	Syria	Turkey	Bulgaria	A	HISTORY
6	Which band sang: "It's hard to say goodbye to happiness."?	Apostle	Bergendy	Corvina	Dynamite	A	MUSIC
7	Which of the following chemical elements is not present in nitric acid?	oxygen	chlorine	nitrogen	hydrogen	B	SCIENCE
8	What does the name Captain Nemo mean?	nobody	unknown	anonymous	hiding	A	LITERATURE
1	What kind of mother is in the title of the well-known Brecht play?	Curious	Courageous	Stelazsi	Balazsy	B	LITERATURE
2	What does a graphologist analyze?	physiological phenomena	natural phenomena	writing pictures	phantom images	C	GENERAL
3	What is the name of Constantinople today?	Ankara	Izmir	Smyrna	Istanbul	D	HISTORY
4	Which band's big hit was the song "Yesterday"?	Beatles	Rolling Stones	Bee Gees	Beach Boys	A	MUSIC
5	An art and culture center in Paris was named after which French president?	Charles de Gaulle	Georges Pompidou	François Mitterrand	Jacques Chirac	B	GENERAL
6	Which movie hero's father is Darth Vader?	James Bond	Luke Skywalker	Han Solo	Superman	B	MOVIE
7	Which athletic event was never included in the ancient Olympics?	long jump	javelin throw	high jump	discus throwing	C	SPORTS
1	What do you affectionately call children who deserve punishment?	rose petal	poppy flower	poppy pollen	peach pie	B	GENERAL
2	What insect is featured in Petfi's poem "My Motherland"?	yellow exchange beetle	spotted ladybug	buzzing night bug	scarlet scarab	A	LITERATURE
3	Which of the following is not a citizen girl who plays chess?	Anna	Judith	Zsuzsa	Sophie	A	GENERAL
