Nehezseg	Kerdes	A	B	C	D	Valasz	Kategoria
3	Melyik allat fajai viselik a barna, szurke, malaj, orvos es jeges elnevezest?	oz	tigris	medve	nyul	C	BIOLoGIA
4	Mi a cotangens matematikai kifejezes hivatalos, szotar szerinti roviditese?	c	cg	ctg	ctng	C	TUDOMaNY
5	Melyik magyar eredetu nev?	Benjamin	Bernat	Bruno	Bodog	D	NYELV
6	Kinek a nevehez fuzodik a Jaszai Mari es odry arpad szineszotthon letrhehozasa?	Gobbi Hilda	Ruttkai eva	Tolnay Klari	Torocsik Mari	A	SZiNHaZ
7	Mi volt David kiraly eredeti foglalkozasa a Biblia szerint?	pasztor	kereskedo	halasz	katona	A	VALLaS
8	Melyik orszag valogatottja nyerte meg a 2001. evi noi kosarlabda Europa-bajnoksagot?	Franciaorszag	Jugoszlavia	Oroszorszag	Litvania	A	SPORT
1	Mihez nem ert a hajdu az ismert kozmondas szerint?	kopjafaragashoz	harangonteshez	loabrakoltatashoz	sonkafustoleshez	B	NYELV
2	Milyen madar szerepel Galla Miklos abszurd szintarsulatanak neveben?	kerecsensolyom	bubosvocsok	hollo	aranymalinko	C	aLTALaNOS
3	Milyen embert neveztek regen gigerlinek?	gerletenyesztot	pantlikaarust	piperkocot	magas hangut	C	NYELV
4	Ki az alvilag gorog istenenek, Hadesznak a romai megfeleloje?	Pollux	Pygmalion	Pluto	Pallasz	C	VALLaS
5	Melyik allat bontasi reszet nevezik orjanak?	sertes	marha	kacsa	nyul	A	KONYHA
6	Mi a neve Jean Valjean fogadott lanyanak A nyomorultak cimu regenyben?	Marie	Cosette	Charlotte	Anne	B	IRODALOM
7	Melyik film foszerepeben nyujtott alakitasaert kapott Oscar-dijat Charlton Heston?	Tizparancsolat	Spartacus	Ben Hur	Quo vadis?	C	FILM
1	Milyen idejuk van bankkolcsonoknek?	roham	iram	futam	ficam	C	aLTALaNOS
2	Milyen mano a neve egy Magyarorszagon is elo ragadozo rovarnak?	remete	imamondo	ajtatos	csuhas	C	BIOLoGIA
3	Kiket neveznek abbenak Franciaorszagban?	utonallokat	vasari komediasokat	orvosokat	vilagi papokat	D	aLTALaNOS
4	Kik talalkoztak eredetileg a dzsemborikon?	diplomatak	cserkeszek	urkutatok	filmmuveszek	B	aLTALaNOS
5	Mely varosban tekintheto meg Leonardo az Utolso vacsora cimu freskoja?	Firenzeben	Milanoban	Romaban	Velenceben	B	MuVeSZET
1	Kinek all a vilag a mondas szerint?	fulesnek	kezesnek	szemesnek	tyukszemesnek	C	NYELV
2	Milyen anyagbol van Andersen rendithetetlen jatekkatonaja?	on	olom	rez	bronz	B	IRODALOM
3	Mi a cime a Michael J. Fox foszereplesevel keszult filmnek: "Vissza a …"	multba	jelenbe	jovobe	kokorszakba	C	FILM
4	Milyen etel a baklava?	baranysult	sutemeny	leves	kecskesajt	B	KONYHA
5	Mikor nyilik ki az ujszulott kismacskak szeme?	egy nap utan	kb. masfel het utan	kb. harom het utan	egy honap utan	B	BIOLoGIA
6	Hanyadik Lajoskent uralkodott az utolso Lajos nevu, 1824-ben elhunyt francia kiraly?	XV.	XVI.	XVII.	XVIII.	D	ToRTeNELEM
7	Melyik nep babszinjatekanak alakja Petruska?	orosz	lengyel	szlovak	cseh	A	aLTALaNOS
1	Hogyan nevezik a komolytalan, nevetseges eljarasokat, esemenyeket?	macskadrama	kutyakomedia	golyaopera	bekaoperett	B	aLTALaNOS
2	Mi a lelek tukre a mondas szerint?	az etvagy	a nevetes	a szem	a testtartas	C	aLTALaNOS
3	Melyik egy nyugat-afrikai majom az alabbiak kozul?	mamba	mandala	mandrill	mangrove	C	BIOLoGIA
4	Ki rendezte a Foglalkozasa: riporter cimu filmet?	Roman Polanski	Francois Truffaut	Francis Ford Coppola	Michelangelo Antonioni	D	FILM
5	Milyen gyartas mellektermekekent keletkezik a melasz?	cukor	gumi	cement	acel	A	TUDOMaNY
6	Melyik birodalmat iranyitotta a 9-10. szazad fordulojan Bolcs Leo?	bizanci	orosz	frank	nemet-romai	A	ToRTeNELEM
7	Melyik nem Jozsef Attila-vers cime az alabbiak kozul?	Levegot!	A Dunanal	Vilagossagot!	Kesz a leltar	C	IRODALOM
1	Hogyan fejezi ki a trefas mondas, hogy valami magatol ertetodo?	Tiszta, mint a malac laba	Vilagos, mint a vakablak	Zavaros, mint a tavalyi bor	Torz, mint a velencei tukor	B	aLTALaNOS
2	Melyik a franciasalata egyik alapanyaga?	torma	cekla	majonez	kapor	C	KONYHA
3	Miert nem mehet el a balba a Peter nevu kis balna Devecseri gyerekverse szerint?	nem irta meg a lecket	nincs meg egy kilometer	szobafogsagban van	nem tud tancolni	B	IRODALOM
4	Milyen sipnak neveztek a tarogatot?	csango	polak	szekely	torok	D	OPERA
5	Ki a vilaghiru amerikai Fonda-szineszdinasztia legidosebb tagja?	Jane Fonda	Henry Fonda	Peter Fonda	Bridget Fonda	B	FILM
6	Hany alkalommal volt magyar miniszterelnok Wekerle Sandor?	egyszer	ketszer	haromszor	negyszer	C	ToRTeNELEM
7	Melyik szo irasmodja helytelen a magyar helyesiras szabalyai szerint?	fotocella	fotomodell	fotoriporter	fotografia	C	NYELV
8	Kirol szol Somerset Maugham Az ordog sarkantyuja cimu regenye?	Van Goghrol	Gauguinrol	Rimbaud-rol	Baudelaire-rol	B	IRODALOM
9	Melyik noveny rokonai a cedrusok?	vorosfenyo	kocsanyos tolgy	bukk	szelidgesztenye	A	BIOLoGIA
10	Mi volt az ismert kolto, Tompa Mihaly foglalkozasa?	hivatasos katona	orvos	ugyved	reformatus lelkesz	D	aLTALaNOS
11	Ki gyozte le a Magyarorszagra betoro III. Henrik nemet-romai csaszart?	I. Bela	II. Bela	III. Bela	IV. Bela	A	ToRTeNELEM
12	Shakespeare melyik dramajat forditotta le Petofi Sandor?	Hamlet	Coriolanus	Sok huho semmiert	Julius Caesar	B	IRODALOM
13	Kinek a regenyebol keszitette Milos Forman Valmont cimu filmjet?	Choderlos de Laclos	Denis Diderot	Restif de la Bretonne	emile Verhaeren	A	FILM
1	Melyik "metelt" egy levesteszta neve?	zsinor	madzag	cerna	drot	C	KONYHA
2	Kik foglalkoznak a nepesedesi adatok elemzesevel?	demagogok	demiurgoszok	demografusok	demonstratorok	C	aLTALaNOS
3	Melyik az a festoi technika, melynek kepviseloi kisebb targyakat ragasztanak a kepekre?	bandazs	grillazs	kollazs	masszazs	C	MuVeSZET
4	Melyik allat parosujju patas az alabbiak kozul?	orrszarvu	lo	szamar	sertes	D	BIOLoGIA
5	Milyen szarmazasu volt a hires dramairo, Lope de Vega?	portugal	spanyol	mexikoi	kubai	B	IRODALOM
6	Ki volt Habsburg uralkodo az alabbi magyar kiralyok kozul?	I. Andras	I. Lajos	I. Laszlo	IV. Karoly	D	ToRTeNELEM
7	Melyik magyar varosban talalhato a Deri Muzeum?	Szolnokon	Bekescsaban	Debrecenben	Miskolcon	C	MAGYARORSZaG
8	Melyik Shakespeare-mubol nem rendezett filmet Franco Zeffirelli?	Romeo es Julia	Makrancos holgy	Hamlet	Lear kiraly	D	FILM
1	Hogyan fejezi ki a mondas, hogy valakinek nagyon hizelegnek?	mintha illoolajjal dorzsolnek	mintha zsirral massziroznak	mintha hajjal kenegetnek	mintha parnaval dogonyoznek	C	NYELV
2	Mit kivan, aki camambert-re vagyik?	vorosbort	sajtot	hagymalevest	pezsgot	B	KONYHA
3	Melyik egy kutyafajta?	leghorn	lipicai	racka	spicc	D	BIOLoGIA
4	Mi a cime Bacso Peter filmjenek: "Te rongyos …"	penz	elet	kapca	lelek	B	FILM
5	Milyen termeszetrajz szerepel Nagy Lajos humoros muvenek a cimeben?	kepes	keptelen	hasznos	haszontalan	B	IRODALOM
6	Hogyan neveztek regen a marcius honapot?	megkesett ho hava	tavaszvaras hava	farsangsirato hava	bojtmas hava	D	NYELV
1	Melyik egy peksutemeny elnevezese?	szakadtzsemle	lezserlinzer	topisbukta	rongyoskifli	D	KONYHA
2	Mi tortenik egy allattal, amikor vedlik?	utodot hoz vilagra	leveti bore felso reteget	taplalekot raktaroz el	teli alombol ebred	B	BIOLoGIA
3	Minek a "harom napja" szerepel a Robert Redford foszereplesevel keszult film cimeben?	solyom	keselyu	sas	fecske	B	FILM
4	Melyik varos nevezetessege volt a XVII. szazad elejen a Globe Szinhaz?	Berlin	Lisszabon	Parizs	London	D	SZiNHaZ
5	Hogyan neveztek az okori Romaban a szolgalati idejuk vegen jaro, majd lekoszono katonakat?	mimusok	obsitosok	veteranok	pontifexek	C	ToRTeNELEM
6	Hany evesen lett tabornok Bonaparte Napoleon?	24	38	48	54	A	ToRTeNELEM
7	Ki a foszereploje Gardonyi Geza A lathatatlan ember cimu muvenek?	Kartal	Botond	Zeta	Jutos	C	IRODALOM
8	Milyen Pierrot szerepel Jean-Luc Godard vilaghiru filmjenek cimeben?	bolond	bohem	feher	kockas	A	FILM
9	Melyik Mozart-operaban szerepel Az ej kiralynoje?	Figaro hazassaga	Szoktetes a szerajbol	A varazsfuvola	Don Giovanni	C	OPERA
10	Melyik festeszeti iranyzat kivalosaga volt Dominique Ingres?	barokk	klasszicizmus	impresszionizmus	szurrealizmus	B	KePZoMuVeSZET
1	Milyen "cirkusz" volt egy vasari mutatvany elnevezese?	soska	bolha	szunyog	kukac	B	aLTALaNOS
2	Hova mentem en el felpenzzel a nepdal szerint?	a szomszedba	a kocsmaba	az erdobe	a vasarba	D	IRODALOM
3	Mivel foglalkozik, akinek az origami a hobbija?	selyemfestessel	papirhajtogatassal	fafaragassal	keleti kuzdosporttal	B	aLTALaNOS
4	Mi a cime a Sophia Loren foszereplesevel keszult hires filmnek: "Egy asszony …"	meg a ferje	meg a lanya	es egy ember	illata	B	FILM
5	Melyik szeszesital a Bloody Mary koktel alapanyaga?	rum	vodka	whisky	gin	B	KONYHA
6	Mikor jart eloszor noi urhajos az urben?	1963-ban	1968-ban	1971-ben	1975-ben	A	aLTALaNOS
1	Mit csinal, aki pipiskedik?	tyukokat etet	tojasokat kolt	kenyeskedik	kendermagot valogat	C	NYELV
2	Honnan "jottunk" a nepszeru tarsasagi jatek neve szerint?	Angolabol	Angliabol	Amerikabol	Ausztraliabol	C	JaTeK
3	Melyik egy Donald Sutherland foszereplesevel keszult kemfilm cime?	Szuz a szalmakazalban	Tu a szenakazalban	Lencse a hamuban	Konkoly a buzaban	B	FILM
4	Honnan kapta elnevezeset az ebenfekete szin?	egy edesvizi halrol	egy tropusi farol	egy mitikus hosrol	egy kavecserjerol	B	NYELV
5	Mely varos biraja volt Robin Hood adaz ellensege?	Manchester	Nottingham	York	Birmingham	B	IRODALOM
6	Hova emigralt a magyar szabadsagharc utan Bem Jozsef?	Franciaorszagba	Torokorszagba	Piemontba	Lengyelorszagba	B	ToRTeNELEM
7	Melyik isteni szarmazasu gorog hos valt halhatatlanna az egbe emelkedve halotti maglyajarol?	Eurudike	Telemakhosz	Kharon	Heraklesz	D	VALLaS
1	Melyiknek van konyhai, husvago valtozata is?	pallos	bard	szekerce	jatagan	B	KONYHA
2	Milyen katonat neveztek regrutanak?	ujoncot	leszerelot	dezertalot	onkentest	A	NYELV
3	Hova megy, aki a turfra indul?	bankba	kaszinoba	tozsdere	loversenypalyara	D	NYELV
4	Mi az aszkorbinsav kozismert neve?	aminosav	sosav	C-vitamin	metan	C	TUDOMaNY
5	Minek "asszony a neve" Hamlet szerint?	zsembesseg	gyarlosag	bujasag	hiusag	B	IRODALOM
6	Melyik film kapta meg a legjobb filmnek jaro Oscar-dijat 2001-ben?	Csokolade	Gladiator	Tigris es sarkany	Traffic	B	FILM
7	Mivel foglalkozik Ascher Tamas?	rendezo	operaenekes	balett-tancos	festo	A	MuVeSZET
8	Melyik az uralkodo vallas a Fulop-szigeteken?	hindu	iszlam	buddhista	katolikus	D	VALLaS
1	Hogy neveztek a muveszetekbe belekotnyeleskedo, tudalekos noket?	zoldfuzo	kekharisnya	lilakombine	pirosbugyellaris	B	aLTALaNOS
2	Milyen jarmu a naszad?	vadaszrepulo	hadihajo	tengeralattjaro	tank	B	TECHNIKA
3	Milyen mesehos Misi Tersanszky Jozsi Jeno muveben?	macko	mokus	torpe	sarkany	B	IRODALOM
4	Mi a cime Steven Spielberg filmjenek: "Indiana Jones es a vegzet …"	asszonya	temploma	hatalma	ostora	B	FILM
5	Milyen a fad ember?	harsany	unalmas	szetszort	abrandozo	B	NYELV
6	Melyik telepules nem a Balaton deli partjan talalhato?	Fonyod	Badacsony	Zamardi	Siofok	B	FoLDRAJZ
7	Melyik magyar jatekvezeto szerzett labdarugokent olimpiai aranyermet?	Palotai Karoly	Vagner Laszlo	Puhl Sandor	Zsolt Istvan	A	SPORT
8	Melyik varos egyetemenek tanara volt az eretnekkent megegetett Husz Janos?	Parizs	Praga	Bologna	Oxford	B	ToRTeNELEM
9	Hol talalhato egy autoban biluxlampa?	az indexben	a fenyszoroban	a tolatolampaban	a belso vilagitasban	B	TECHNIKA
10	Melyik rockegyuttes irt filmzenet a "Zabriskie Point" cimu Antonioni-filmhez?	Led Zeppelin	Pink Floyd	Dire Straits	Yes	B	FILM
1	Hogy nevezik a nagyetku, falank embert?	haspocok	hasrengeto	haspok	hashajto	C	aLTALaNOS
2	Milyen szeru szerepel Ady Endre versenek cimeben?	kiralyi	grofi	ispani	nadori	B	IRODALOM
3	Melyik muveszeti agban valt vilaghiruve Solti Gyorgy?	szobraszat	festeszet	filmmuveszet	zenemuveszet	D	MuVeSZET
4	Melyik foldreszen talalhato Szvazifold?	Afrika	Ausztralia es oceania	azsia	Del-Amerika	A	FoLDRAJZ
5	Mikor van az eszaki felteken az oszi napejegyenloseg?	szeptember 23.	szeptember 27.	oktober 23.	oktober 27.	A	TUDOMaNY
6	Melyik operaban hangzik el a Zummogokorus?	Verdi: Traviata	Puccini: Pillangokisasszony	Mascagni: Parasztbecsulet	Rossini: Tell Vilmos	B	OPERA
1	Mit csinal a mondas szerint, aki hallott vagy tanult szoveget monoton ismetelget?	kakukkol	pacsirtal	fulemilez	szajkoz	D	aLTALaNOS
2	Melyik lehet "sztentori" az alabbiak kozul?	hang	hallas	hallgatas	halogatas	A	aLTALaNOS
3	Hol all meg Petofi nyari napnak alkonyulatanal a vers szerint?	a csaladi porta elott	babaja ablaka alatt	a kanyargo Tiszanal	vadregenyes fenyvesben	C	IRODALOM
4	Kivel keszul interju Tom Cruise es Brad Pitt kozos filmjeben?	mumiaval	vampirral	farkasemberrel	golemmel	B	FILM
5	Kiknek az uralkodoja volt Kopasz Karoly?	angolok	vikingek	frankok	bizanciak	C	ToRTeNELEM
6	Hol talalhato az allitolagos ufobalesetrol elhiresult Roswell varosa?	Kanadaban	Nagy-Britanniaban	Ausztraliaban	az USA-ban	D	aLTALaNOS
7	Ki irta a Magyar rapszodiak cimu zongoramuvet?	Liszt Ferenc	Johannes Brahms	Bartok Bela	Dohnanyi Erno	A	OPERA
8	Melyik hires magyar tortenelmi szemelyt iteltek tavolleteben halalra?	Deak Ferencet	id. Andrassy Gyulat	Eotvos Jozsefet	Irinyi Janost	B	ToRTeNELEM
9	Milyen nemzetisegu a U2 nevu rockzenekar?	ir	ausztral	angol	amerikai	A	ZENE
1	Mit nem lat az elvakult ember a mondas szerint?	maktol a retest	tovistol a rozsat	zabtol a lovat	fatol az erdot	D	NYELV
2	Melyik papi meltosag lehet a lila szin jelzoje?	puspok	kaplan	kaptalan	ersek	A	VALLaS
3	Melyik muveszeti agban valt vilaghiruve Kocsis Zoltan?	zene	festeszet	filmmuveszet	epiteszet	A	MuVeSZET
4	Ki volt Delila kedvese a Bibliaban?	David	Samson	Mozes	Jozsef	B	VALLaS
5	Melyik orszag Monaco egyetlen szomszedja?	Olaszorszag	Spanyolorszag	Franciaorszag	Svajc	C	FoLDRAJZ
6	Az alabbi kozetek kozul melyik nem vulkanikus eredetu?	andezit	bazalt	marvany	tufa	C	FoLDRAJZ
7	Melyik zenes szinpadi mu fohosenek matkaja orzse?	Huszka Jeno: Bob herceg	Kodaly Zoltan: Hary Janos	Erkel Ferenc: Dozsa Gyorgy	Kacsoh Pongrac: Janos vitez	B	OPERA
8	Melyik egy hires Hitchcock-film cime?	Bejarati ajto	Hatso ablak	Padlasfeljaro	Vakablak	B	FILM
9	Ki volt a nemet kancellar az 1972-es muncheni olimpia idejen?	Willy Brandt	Konrad Adenauer	Helmut Schmidt	Helmut Kohl	A	ToRTeNELEM
10	Melyik varos latkepe van a tizezer forintos bankjegyen?	Buda	Esztergom	Eger	Sarospatak	B	aLTALaNOS
11	Minek a meresere szolgalt az orosz mertekegyseg, a pud?	urtartalom	hosszusag	suly	terulet	C	TUDOMaNY
12	Az alabbiak kozul melyik nem kapta meg a legjobb filmnek jaro Oscar-dijat?	Most es mindorokke	Van aki forron szereti	A muzsika hangja	80 nap alatt a Fold korul	B	FILM
13	Mikor nyilt meg hivatalosan a Szepmuveszeti Muzeum?	a reformkorban	a kiegyezes eveben	a XX. szazad elejen	a II. vilaghaboru utan	C	aLTALaNOS
14	Az alabbiak kozul melyik opera nem tartozik Puccini Triptichonjaba?	A kopeny	Nyugat lanya	Angelica nover	Gianni Schicchi	B	OPERA
15	Kit neveztek Erdelyben keneznek?	a falu birajat	a falu papjat	a falu tanitojat	a falu csendoret	A	NYELV
1	Milyen fat hasznalnak a vasuti sinek alatamasztasara es rogzitesere?	samfat	hamfat	talpfat	satrafat	C	aLTALaNOS
2	Kik hasznaljak alkotas kozben a palettat?	rezmuvesek	koltok	festok	zeneszerzok	C	aLTALaNOS
3	Hol terem sok hal a nepdal szerint?	a Dunaban	a Balatonban	a Tiszaban	a Velencei-toban	B	IRODALOM
4	Mely allam orszaggyulese a duma?	Bulgaria	Lengyelorszag	Oroszorszag	Romania	C	aLTALaNOS
5	Melyik elelmiszer a madartej egyik alapanyaga az alabbiak kozul?	turo	tojas	dio	lekvar	B	KONYHA
6	Melyik nem alkotmanyos monarchia az alabbi eszak-europai orszagok kozul?	Dania	Norvegia	Svedorszag	Izland	D	ORSZaGOK
7	Melyik tortenelmi alakrol irt balettot Aram Hacsaturjan?	Napoleon	Spartacus	Miltiadesz	Kolumbusz	B	MuVeSZET
8	Milyen kiserletek helyszine volt a Bikini-atoll?	amerikai atombomba	francia madartani	tengerbiologiai	foldrenges-kutatasi	A	TUDOMaNY
9	Melyik folyo partjan fekszik Torino?	Piave	Arno	Po	Tevere	C	FoLDRAJZ
1	Hol el meg a mondas szerint az elelmes ember?	medvebarlangban is	farkasveremben is	jeg hatan is	hazsartos asszony mellett is	C	NYELV
2	Melyik egitesthez vonzodik korosan az alvajaro a nephit szerint?	Holdhoz	Naphoz	Venuszhoz	Marshoz	A	aLTALaNOS
3	Milyen "becsuletrol" irt operat Mascagni?	munkas	betyar	asszony	paraszt	D	OPERA
4	Mire hasznaltak a nok a XIX. szazadban a viganot?	ruhakent hordtak	foztek benne	osszejovetelek tartasara	zenelesre	A	NYELV
5	Hol tekintheto meg a Lehel kurtjekent ismert regeszeti lelet?	Veszpremben	Jaszberenyben	Debrecenben	Sopronban	B	MAGYARORSZaG
6	Melyik orszag valogatottjanak volt tagja Eusebio?	Portugalia	Spanyolorszag	Brazilia	Argentina	A	SPORT
1	Hogyan fejezi ki a mondas azt, hogy valaki elszamitotta magat?	Rossz agarat futtatott	Rossz nyulra lott	Rossz lora tett	Rossz medvet molesztalt	C	NYELV
2	Melyik szervunkben talalhato a szivarvanyhartya?	ful	sziv	szem	agy	C	BIOLoGIA
3	Mijet tupirozza egy no?	kormet	hajat	kezet	szemhejat	B	aLTALaNOS
4	Ki volt az Antall-kormany honvedelmi minisztere?	Jeszenszky Geza	Fur Lajos	Keleti Gyorgy	Szabad Gyorgy	B	ToRTeNELEM
5	Melyik egyuttest alapitotta Soltesz Rezso?	Express	Apostol	Corvina	Neoton	C	ZENE
6	Ki kapta a legjobb noi foszereplonek jaro Oscar-dijat 2001-ben?	Sharon Stone	Julia Roberts	Kim Basinger	Juliette Binoche	B	FILM
7	Hany pont alatt nem szabad megallni a huszonegyes nevu kartyajatekban?	15	16	17	18	A	JaTeK
8	Melyik egyuttesben jatszott Peter Gabriel es Phil Collins?	Pink Floyd	Yes	Genesis	Dire Straits	C	ZENE
1	Hogy nevezik maskepp az ivocimborat?	borbatyo	sorsogor	szesztestver	froccsocs	C	aLTALaNOS
2	Milyen embert nevez a nepnyelv golyhonak?	pufokot	egyugyut	kopaszt	okoskodot	B	NYELV
3	Melyik orszagrol kapta nevet a polonium?	Portugalia	Lengyelorszag	Csehorszag	Franciaorszag	B	TUDOMaNY
4	Milyen nemzetisegu volt Ayrton Senna,a tragikus korulmenyek kozott elhunyt Forma 1-es pilota?	spanyol	argentin	olasz	brazil	D	SPORT
5	Kit valasztottak Erdely fejedelmeve 1704-ben?	Kemeny Janost	Thokoly Imret	II. Apafi Mihalyt	II. Rakoczi Ferencet	D	ToRTeNELEM
6	Melyik apostol melyesztette ujjait Jezus sebeibe azert, hogy meggyozodjon feltamadasarol?	Peter	Jakab	Tamas	Andras	C	VALLaS
7	Milyen allatok tartoznak a csikfelek koze?	halak	madarak	rakok	hullok	A	BIOLoGIA
1	Melyik rovarrol neveztek el egy uszasnemet?	szocske	hangya	pillango	darazs	C	SPORT
2	Hany fokosak az egyenlo oldalu haromszog belso szogei?	180	60	90	45	B	TUDOMaNY
3	Melyik nep polgarhaborujahoz kapcsolhato szorosan a Tamas batya kunyhoja cimu regeny?	amerikai	angol	spanyol	orosz	A	IRODALOM
4	Mivel kepesek mozogni egyes egysejtuek?	kaccsal	indaval	csilloval	csappal	C	BIOLoGIA
5	Milyen levest keszit, aki kelvirag levest foz?	brokkoli	karfiol	karalabe	kaposzta	B	KONYHA
6	Melyik mai allam teruleten talalhatok az okori Karthago romjai?	Gorogorszag	Libia	Torokorszag	Tunezia	D	ToRTeNELEM
7	Melyik kepzomuveszeti iranyzat jellegzetes abrazolasi eszkozei a geometriai formak?	eklekticizmus	fauvizmus	kubizmus	aktvivizmus	C	MuVeSZET
1	Hogyan nevezik a fulserto, hamis zenet?	kutyazene	malaczene	macskazene	birkazene	C	aLTALaNOS
2	Milyen allatoknak van zuzajuk?	madaraknak	halaknak	keteltueknek	hulloknek	A	BIOLoGIA
3	Az alabbi orszagok kozul melyiknek nincs tengerpartja?	Albania	Bulgaria	Szlovenia	Macedonia	D	FoLDRAJZ
4	Melyik egy katyajatek soran hasznalt kifejezes?	banzaj	bugi	buli	muri	C	JaTeK
5	Melyik magyar kiraly foglalta el Becset?	I. Laszlo	II. Andras	Nagy Lajos	Matyas	D	ToRTeNELEM
6	Mi az Iliasz cimu eposz kozponti temaja?	az aranygyapju keresese	a titanok lazadasa	az istenek szuletese	Troja ostroma	D	IRODALOM
7	Kinek a lemezen szerepel a Lovolde ter cimu szam?	Presser Gabor	Zoran	Kern Andras	Geszti Peter	C	ZENE
8	Kinek a megkereszteleset abrazolja Benczur Gyula ismert festmenye?	Jezus	Szent Janos	Vajk	Szent Gellert	C	MuVeSZET
9	Mely orszag teruleten szolgaltak a szipolyok?	Kina	India	Japan	Egyiptom	B	ToRTeNELEM
10	Melyik Verdi-operaban hangzik el a hires Szabadsagkettos?	Aida	A trubadur	Don Carlos	Nabucco	C	OPERA
1	Hogyan szorja a penzt a felelotlenul koltekezo ember a mondas szerint?	bal kezzel	jobb kezzel	kesztyus kezzel	ket kezzel	D	aLTALaNOS
2	Miert "most szep lenni katonanak" a nepdal szerint?	mert vege a haborunak	mert uj az egyenruha	mert Kossuthnak verbuvalnak	mert nosul a fokapitany	C	NYELV
3	Hogyan nevezik a lapkiadasban az eladatlan peldanyokat?	reprint	remittenda	recenzio	referendum	B	aLTALaNOS
4	Melyik orszag teruleten talalhato Fokfold?	Argentina	Ausztralia	Del-afrikai Koztarsasag	India	C	FoLDRAJZ
5	Melyik sportagban nyert vilagbajnoksagot a Jonyer-Klampar paros?	tenisz	mukorcsolyazas	asztalitenisz	kajak-kenu	C	SPORT
6	Mely varos nevezetessege a hatalmas, kitart karu Krisztus-szobor?	Manila	Buenos Aires	Rio de Janeiro	Veracruz	C	ORSZaGOK
7	Melyik filmhost formalta meg Harrison Ford?	Obi-Wan Kenobi	Indiana Jones	Hercule Poirot	Ben Hur	B	FILM
8	Melyik neves ironk lanyanak visszaemlekezese az Apam regenye?	Nemeth Laszlo	Moricz Zsigmond	Illyes Gyula	Mora Ferenc	A	IRODALOM
1	Melyik szot hasznaljak a kereskedelemben sajtok jelolesere?	omlesztett	romlasztott	lyukasztott	buggyantott	A	KONYHA
2	Hogyan keszitettek az indianok a kenut?	agyagbol egettek	fatorzsbol vajtak ki	nadat kotottek ossze	palmalevelekbol fontak	B	aLTALaNOS
3	Milyen muvei tettek ismertte a francia Hervet?	festmenyei	operettjei	mozaikjai	szobrai	B	MuVeSZET
4	Melyik megyenkben talalhato a hagymajarol hires Mako varosa?	Heves	Bacs-Kiskun	Csongrad	Hajdu-Bihar	C	MAGYARORSZaG
5	Melyiket neveztek dramolettnek?	a tulsulyos szinesznot	a rovidebb szinmuvet	az idosebb noi szerepkort	a kisebb szinhazat	B	SZiNHaZ
6	Melyik enekes elso nagylemeze volt az ejszakak es nappalok?	Szecsi Pal	Korda Gyorgy	Mate Peter	Koos Janos	C	ZENE
7	Melyik orszag kormanyfoje volt Vidkun Quisling a II. vilaghaboru alatt?	Franciaorszag	Norvegia	Belgium	Olaszorszag	B	ToRTeNELEM
1	Kik a foszereploi a Veszhelyzet cimu sorozatnak?	autoversenyzok	rendorok	orvosok	kommandosok	C	FILM
2	Milyen resznek nevezzuk valaminek a legnagyobb reszet?	elefant	mamut	oroszlan	balna	C	NYELV
3	Mi Tigris kedvenc eledele Milne Micimackojaban?	a mez	a bogancs	a ricinus	a csukamajolaj	D	IRODALOM
4	Melyik nem felsziget az alabbiak kozul?	Krim	Balkan	Labrador	Gronland	D	FoLDRAJZ
5	Kik vivtak a peloponneszoszi haborut?	Roma es Karthago	Athen es Sparta	Ur es Uruk	Memphisz es Theba	B	ToRTeNELEM
6	Melyik szineszno kapott Oscar-dijat a Ghost cimu filmben nyujtott alakitasaert?	Whoopi Goldberg	Demi Moore	Michelle Pfeiffer	Barbra Streisand	A	FILM
7	Melyik egyuttese volt az otodik sebesseg cimu nagylemez?	Hungaria	Bergendy	Neoton Familia	Express	B	ZENE
8	Melyik varosban mutattak be Mozart: Don Giovanni cimu operajat?	Velence	Becs	Praga	Salzburg	C	OPERA
1	Mi tortenik azzal a mondas szerint, aki a Tisza vizet issza?	visszavagyik	delibabot lat	nem lesz szomjas	kiszokul	A	NYELV
2	Melyik tengerben talalhato Szicilia szigete?	egei-tenger	Balti-tenger	eszaki-tenger	Foldkozi-tenger	D	FoLDRAJZ
3	Milyen kifejezessel szokas illetni a katonai egyenruhat?	kenyszerzubbony	angyalbor	bakaballon	huszarkontos	B	NYELV
4	Kiket latunk a puttokat abrazolo kepzomuveszeti alkotasokon?	szuretelo munkasokat	mitologiai szornyeket	pufok angyalokat	okereszteny vertanukat	C	KePZoMuVeSZET
5	Az alabbiak kozul melyik egy nepszeru Zilahy-regeny cime?	Valamit sug a szel	Valamit visz a viz	Valamit suttog a fenyves	Valamit almodik a nyomor	B	IRODALOM
6	Hol lathattak eredetileg a bajaderok tancat?	Japanban	Argentinaban	Egyiptomban	Indiaban	D	MuVeSZET
7	Melyik a legteljesebben atalakult, legregibb koszenfajta?	antracit	lignit	barnakoszen	feketekoszen	A	FoLDRAJZ
1	Melyik egy ketszemelyes jatek neve?	bakterium	bacilus	amoba	alga	C	JaTeK
2	Milyen kiralynorol irt operettet Kalman Imre?	meh	tunder	angol	csardas	D	OPERA
3	Melyik orszag fovarosa Havanna?	Guatemala	Honduras	Panama	Kuba	D	ORSZaGOK
